,Question,Answers
58,What are the symptoms of Parkinson's Disease?,Treatment includes medications (levodopa) and deep brain stimulation.
117,How is HIV/AIDS diagnosed?,Treatment includes antiretroviral therapy (ART) to control the virus.
166,How can I manage my Dengue Fever?,Diagnosis involves blood tests to detect the virus or its antibodies.
278,Can Glaucoma be prevented?,Preventing Glaucoma involves regular eye exams and maintaining eye health.
261,Can Endometriosis be prevented?,Endometriosis is caused by the abnormal growth of tissue outside the uterus.
205,How can I manage my Multiple Sclerosis?,"Parkinson's Disease symptoms include tremors, stiffness, and impaired balance."
135,How is Cancer diagnosed?,Symptoms vary depending on the type and stage of cancer.
260,What treatment options are available for Endometriosis?,"Managing Endometriosis involves pain management, hormonal therapies, and surgical interventions."
5,How can I manage my Diabetes?,"Medication adherence, blood sugar monitoring."
162,How is Dengue Fever diagnosed?,"Lifestyle changes include avoiding alcohol, practicing safe sex, and maintaining a healthy diet."
